"id","symbol","name","sector","price","price_earnings","dividend_yield","earnings_share","low_52_week","high_52_week","market_cap","ebitda","price_sales","price_book","sec_filings"
"111","XEC","Cimarex Energy","Energy","100.19","26.37","0.302143","-4.64","136.31","89.49","10089082025.0","1061056000.0","7.556446","4.28","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XEC"
"112","CINF","Cincinnati Financial","Financials","70.34","27.48","2.918904","3.55","81.98","68.24","11916533018.0","0.0","2.756679","1.6","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CINF"
"113","CTAS","Cintas Corporation","Industrials","149.32","32.75","1.034483","4.38","169.96","113.79","16676145923.0","1097295000.0","2.761406","6.53","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTAS"
"114","CSCO","Cisco Systems","Information Technology","38.77","17.87","2.875558","1.91","42.98","30.36","199425716482.0","15447000000.0","5.484418","3.07","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CSCO"
"115","C","Citigroup Inc.","Financials","71.87","13.48","1.706894","-3.1","80.7","56.14","192709302000.0","0.0","2.185759","0.9","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=C"
"116","CFG","Citizens Financial Group","Financials","42.19","16.04","1.962534","3.27","48.23","31.51","22008050974.0","0.0","3.391735","1.08","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CFG"
"117","CTXS","Citrix Systems","Information Technology","84.53","20.37","0.0","-0.24","95.0","73.33","13199167493.0","810268000.0","4.753871","6.73","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTXS"
"118","CME","CME Group Inc.","Financials","153.04","32.15","3.682861","11.94","163.0","114.82","54423298745.0","2851800000.0","14.881806","2.51","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CME"
"119","CMS","CMS Energy","Utilities","41.77","21.42","3.391841","1.99","50.85","41.07","11873960824.0","2099000000.0","2.471168","2.65","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMS"
"120","KO","Coca-Cola Company (The)","Consumer Staples","43.1","22.8","3.321364","1.49","48.62","40.22","189855335601.0","8589000000.0","6.822138","8.65","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KO"
"121","CTSH","Cognizant Technology Solutions","Information Technology","75.16","22.44","1.045478","2.54","79.28","54.76","45119684067.0","2946000000.0","3.96784","3.94","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTSH"
"122","CL","Colgate-Palmolive","Consumer Staples","68.95","24.02","2.280177","2.28","77.91","66.26","61616643498.0","4064000000.0","4.000737","236.42","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CL"
"123","CMCSA","Comcast Corp.","Consumer Discretionary","38.19","18.54","1.892902","4.74","44.0","34.78","186476996883.0","28675000000.0","2.179775","2.65","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMCSA"
"124","CMA","Comerica Inc.","Financials","89.18","18.89","1.282325","4.13","98.18","64.04","16274969256.0","0.0","4.905472","1.96","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMA"
"125","CAG","Conagra Brands","Consumer Staples","35.49","18.2","2.368348","1.46","41.68","32.16","14379717835.0","1281200000.0","1.829499","3.86","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAG"
"126","CXO","Concho Resources","Energy","140.09","84.39","0.0","-11.04","162.91","106.73","22021882339.0","2151190000.0","12.271951","2.61","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CXO"
"127","COP","ConocoPhillips","Energy","53.24","72.93","2.049254","-0.65","61.32","42.27","65482462410.0","5328000000.0","2.076418","2.16","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COP"
"128","ED","Consolidated Edison","Utilities","74.73","18.64","3.80016","4.1","89.7","72.63","23335777662.0","4288000000.0","2.960244","1.58","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ED"
"129","STZ","Constellation Brands","Consumer Staples","208.73","30.92","0.971282","8.71","229.5","152.01","41697453163.0","3033300000.0","5.145596","5.14","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STZ"
"130","GLW","Corning Inc.","Information Technology","28.45","16.45","2.079142","-0.78","35.1","26.31","25759280346.0","2970000000.0","2.544682","1.71","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GLW"
"131","COST","Costco Wholesale Corp.","Consumer Staples","178.61","30.69","1.091763","6.09","199.88","150.0","80439804508.0","5679000000.0","0.612039","7.24","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COST"
"132","COTY","Coty, Inc","Consumer Staples","19.96","24.64","2.860412","-0.63","21.18","14.24","13101112504.0","211400000.0","2.00618","1.37","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COTY"
"133","CCI","Crown Castle International Corp.","Real Estate","103.81","21.45","3.862069","1.02","114.97","86.93","44183023189.0","2292600000.0","10.125291","3.54","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CCI"
"134","CSRA","CSRA Inc.","Information Technology","30.85","15.12","1.275917","1.83","33.79","27.38","5134501276.0","543000000.0","1.332484","11.37","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CSRA"
"135","CSX","CSX Corp.","Industrials","50.47","21.94","1.510289","6.07","60.04","45.41","47340511707.0","5003000000.0","4.216355","4.27","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CSX"
"136","CMI","Cummins Inc.","Industrials","165.73","16.83","2.500868","8.23","194.18","143.83","28669230787.0","2924000000.0","1.940617","3.89","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMI"
"137","CVS","CVS Health","Consumer Staples","70.55","12.36","2.68998","4.91","84.0","66.45","75323141722.0","11704000000.0","0.549852","2.13","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVS"
"138","DHI","D. R. Horton","Consumer Discretionary","44.55","16.32","1.080147","2.73","53.32","29.37","17390873686.0","1691000000.0","1.193102","2.17","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DHI"
"139","DHR","Danaher Corp.","Health Care","92.16","22.87","0.587927","3.53","104.82","78.97","66351150000.0","4339800000.0","3.688278","2.65","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DHR"
"140","DRI","Darden Restaurants","Consumer Discretionary","91.33","22.72","2.6504","3.81","100.11","71.7","11745595320.0","997600000.0","1.527883","5.89","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DRI"
"141","DVA","DaVita Inc.","Health Care","71.91","20.55","0.0","4.3","80.71","52.51","13685178000.0","2252294000.0","1.14514","2.79","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DVA"
"142","DE","Deere & Co.","Industrials","153.66","23.14","1.48662","6.64","171.96","106.72","52186628646.0","4053300000.0","2.374645","5.31","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DE"
"143","DAL","Delta Air Lines Inc.","Industrials","51.23","10.37","2.265553","4.94","60.79","43.81","38393603535.0","8348000000.0","0.917924","2.67","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DAL"
"144","XRAY","Dentsply Sirona","Health Care","56.85","22.65","0.600343","1.99","68.98","52.54","13390513478.0","-411100000.0","4.626262","1.8","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XRAY"
"145","DVN","Devon Energy Corp.","Energy","34.94","23.93","0.652884","-6.89","47.25","28.79","19317380000.0","3723000000.0","2.066041","2.85","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DVN"
"146","DLR","Digital Realty Trust Inc","Real Estate","98.96","16.55","3.571086","2.19","127.23","101.1","21400952517.0","1260662000.0","12.434961","2.32","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DLR"
"147","DFS","Discover Financial Services","Financials","72.4","12.13","1.826961","5.41","81.93","57.5","27433540000.0","0.0","2.361033","2.52","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DFS"
"148","DISCA","Discovery Communications-A","Consumer Discretionary","22.87","11.0","0.0","1.96","30.25","15.99","8763756733.0","2100000000.0","1.804088","1.5","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DISCA"
"149","DISCK","Discovery Communications-C","Consumer Discretionary","21.58","10.37","0.0","1.96","29.18","14.99","8320262123.0","2100000000.0","1.714792","1.43","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DISCK"
"150","DISH","Dish Network","Consumer Discretionary","43.77","16.09","0.0","3.06","66.5","42.48","21032719056.0","2754331000.0","1.852184","3.76","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DISH"
"151","DG","Dollar General","Consumer Discretionary","95.1","21.18","1.062526","4.43","105.82","65.97","26580644874.0","2457604000.0","1.528389","4.53","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DG"
"152","DLTR","Dollar Tree","Consumer Discretionary","101.58","26.66","0.0","3.77","116.65","65.63","25151198417.0","2430300000.0","1.609759","4.08","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DLTR"
"153","D","Dominion Energy","Utilities","73.31","20.42","4.5282","4.91","85.3","71.59","47543571860.0","6428000000.0","3.795421","2.96","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=D"
"154","DOV","Dover Corp.","Industrials","96.2","23.87","1.881505","5.15","109.06","75.51","15566645713.0","1513291000.0","1.986176","3.59","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DOV"
"155","DWDP","DowDuPont","Materials","68.21","49.43","2.152975","1.59","77.08","64.01","165203312427.0","5250000000.0","2.69224","1.54","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DWDP"
"156","DPS","Dr Pepper Snapple Group","Consumer Staples","116.93","26.57","1.966102","4.54","126.65","83.23","21209783858.0","1507000000.0","4.214919","9.99","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DPS"
"157","DTE","DTE Energy Co.","Utilities","98.49","19.12","3.555959","4.82","116.74","96.56","17808073691.0","2790000000.0","1.909192","1.95","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DTE"
"158","DUK","Duke Energy","Utilities","74.32","16.7","4.784946","3.12","91.8","72.93","52078185682.0","9895000000.0","2.934886","1.27","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DUK"
"159","DRE","Duke Realty Corp","Real Estate","24.52","19.77","3.153331","0.88","30.14","24.73","9035293365.0","529483000.0","16.077257","1.94","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DRE"
"160","DXC","DXC Technology","Information Technology","91.92","79.93","0.749376","-0.89","102.95","67.76","27408621020.0","1628000000.0","1.959806","2.26","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DXC"
"161","ETFC","E*Trade","Financials","48.48","22.14","0.0","2.15","56.0","32.25","13754977266.0","0.0","5.689136","2.15","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ETFC"
"162","EMN","Eastman Chemical","Materials","93.57","12.28","2.263084","10.12","104.08","76.02","14226830813.0","2152000000.0","1.490479","2.78","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EMN"
"163","ETN","Eaton Corporation","Industrials","79.41","17.08","2.940456","6.68","89.85","69.45","35961772000.0","4253000000.0","1.816174","2.17","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ETN"
